source,query_label,title,authors,year,journal,doi,url,abstract
PubMed,liver_ultrasound_segmentation_dl,AI-Assisted OCT Imaging for Core Needle Biopsy Guidance: The 1st in Humans Study.,"Iftimia, Nicusor; Yadav, Poonam; Primrose, Michael; Maguluri, Gopi; Jones, Jack et al.",2026,"Diagnostics (Basel, Switzerland)",10.1364/OL.39.006807,https://pubmed.ncbi.nlm.nih.gov/41828088/,
PubMed,nnunet_liver_ultrasound,Adapt or specialize? A comprehensive evaluation of adapted SAM versus task-specific CNNs for fetal abdominal segmentation.,"Fiorentino, Maria Chiara; Federici, Lorenzo; Camera, Alessandro Pietro La; Caiani, Enrico Gianluca",2026,Computer methods and programs in biomedicine,10.1016/j.cmpb.2025.109178,https://pubmed.ncbi.nlm.nih.gov/41313924/,"BACKGROUND: The fetal abdomen is crucial in prenatal screening, offering key insights into fetal growth and congenital anomalies. However, segmenting internal abdominal structures in ultrasound (US) remains challenging due to anatomical variability, overlapping organs, and low contrast. While CNN-based models have shown strong performance in fetal head analysis, most existing methods focus on biometric measurements (e.g., head or abdominal circumference), leaving internal abdominal organ segmentation largely underexplored. Recently, foundation models like the Segment Anything Model (SAM) have emerged as flexible alternatives, enabling zero- or few-shot segmentation. Yet, their performance on fetal US remains poorly understood, and the need for adaptation is still an open question. METHODS: We compare two segmentation strategies: (1) task-specific CNNs, including UNet, Attention UNet, nnUNet, DeepLabv3+, and their focal-loss variants; and (2) adapted SAM-based models. The latter includes zero-shot variants (SAMPoint, SAMBBox), pre-trained models (SAM Med2DBBox, MedSAMBBox), and adapted configurations, including lightweight fine-tuned models (SAM-LoRA, MedSAM-FrozenEncoder) and SAM Med2D variants with adapted layers. Experiments are conducted on a curated dataset of fetal abdominal US images with manual segmentations of the liver, stomach, artery, and umbilical vein. Performance is evaluated using Dice Similarity Coefficient, Intersection over Union, and precision. Statistical significance is assessed via pairwise Friedman chi-square tests. RESULTS & CONCLUSIONS: Zero-shot SAM variants performed poorly, particularly on small or low-contrast structures. In contrast, adapted SAM models consistently outperformed CNNs, reaching DSC scores up to 0.90 (liver) and 0.80 (artery). Prompt-based interaction enables semi-automated, human-in-the-loop workflows, supporting clinical applicability."
PubMed,liver_ultrasound_segmentation_dl,An Organ-Guided Lightweight Multi-frame Integration Network for Real-Time Abdominal Lesion Detection in Ultrasound Video Streams.,"Wang, Xinyi; Zhu, Mingliu; Zou, Yaoxian; Liu, Shuo; Zhang, Hongmei et al.",2026,Ultrasound in medicine & biology,10.1016/j.ultrasmedbio.2026.07.002,https://pubmed.ncbi.nlm.nih.gov/42570927/,"OBJECTIVE: Abdominal ultrasound is widely used for the routine screening of hepatobiliary and renal diseases because it is safe, inexpensive and broadly accessible. In daily clinical practice, however, lesion detection remains highly operator-dependent, particularly when sonographers must identify subtle abnormalities across different abdominal organs under low-contrast, noisy and continuously changing views. Missed or delayed recognition may affect subsequent diagnostic assessment and patient management. Although deep learning has shown promise in ultrasound analysis, most existing methods focus on single-organ or static-image settings, which limits their applicability to real-time abdominal screening. These challenges motivate the development of a unified real-time detection framework that can better support lesion identification in multi-organ ultrasound videos. METHODS: We propose the Organ-Guided Lightweight Multi-frame Integration (OGLMFI) framework based on YOLOv11 for unified lesion detection across the liver, gallbladder and kidney in ultrasound videos. The framework incorporates an Organ-Guided Feature Filtering module that uses organ segmentation priors to suppress background interference and enhance lesion discrimination. It also includes a Lightweight Multi-frame Integration module, which adopts a dual-branch fusion strategy to efficiently integrate temporal information from consecutive frames using only historical context, thereby preserving causal real-time inference. RESULTS: On the test set of 205 clinical videos (12,964 annotated frames), OGLMFI achieved a Recall of 0.691, a mean average precision at an intersection-over-union threshold of 0.5 (mAP50) of 0.703, an mAP50-95 of 0.510 and an inference speed of 52.3 frames per second. Compared with the YOLOv11-L baseline, OGLMFI improved Recall by 10.7%, mAP50 by 3.2% and mAP50-95 by 8.1%, while maintaining real-time performance. Among the evaluated methods, OGLMFI achieved the highest Recall, mAP50 and mAP50-95. Category-wise analysis further showed the highest average precision at an intersection-over-union threshold of 0.5 across all seven lesion categories, including 66.8% for gallbladder stone and 53.7% for gallbladder polyp. CONCLUSION: By integrating organ-guided feature filtering and causal multi-frame feature fusion, OGLMFI improves real-time lesion detection in abdominal ultrasound videos. The proposed framework provides a practical unified solution for lesion detection across three abdominal organs and may serve as a useful computer-aided tool for routine abdominal ultrasound screening."
PubMed,liver_ultrasound_segmentation_dl,Development and External Validation of an Efficient Deep Learning Model for Lesion Segmentation and Subtyping of Hepatic Echinococcosis in Ultrasound Imaging.,"He, Zhu; Qiu, Jiajun; Du, Chenlin; Yin, Jin; Zhang, Xuhui et al.",2026,Health care science,10.1002/mp.15548,https://pubmed.ncbi.nlm.nih.gov/42499638/,"BACKGROUND: Hepatic echinococcosis is a zoonotic parasitic disease common in remote, resource-limited pastoral regions. It mainly appears as cystic echinococcosis (CE), due to Echinococcus granulosus, and alveolar echinococcosis (AE), caused by multilocular Echinococcus species. CE can lead to biliary colic or vascular compression, while AE often mimics liver cancer and exhibits high long-term mortality. Although ultrasonography is the diagnostic method of choice, its accuracy is affected by imaging artifacts and operator variability. Conventional deep learning models are often computationally heavy and lack interpretability, limiting their use in underdeveloped areas. Integrating frequency- and spatial-domain features in a lightweight framework offers a promising solution for efficient segmentation and classification of hepatic echinococcosis. The aim of this study is to develop efficient deep learning models for hepatic echinococcosis segmentation and classification, facilitating large-scale screening with non-invasive, portable ultrasound imaging. METHODS: This study utilized a large ultrasound dataset to train and evaluate a deep learning model, consisting of 20,112 images from 4437 patients in Shiqu County, Sichuan Province, China, an endemic area for hepatic echinococcosis. To further assess the model's robustness, an external dataset comprising 3340 images from 1123 patients at West China Hospital of Sichuan University was used for additional testing. By enhancing the correlation of image features in both the frequency and spatial domains for hepatic echinococcosis ultrasound images, and incorporating segmentation features to assist the classification task, the developed model achieves high efficiency and lightness. RESULTS: The proposed model achieved a Dice coefficient of 80.67% and 78.12% for segmentation, and classification accuracy of 90.10% and 80.96% on the internal and external test sets, respectively. Compared to the lightweight state-of-the-art (SOTA) model, it improves inference speed by 43.48% and increases classification accuracy by 8.89% and 16.32% on internal and external test sets, respectively. Compared to the standard SOTA model, it is only 8% of its size but boosts inference speed by 821.37%, with classification accuracy improvements of 3.65% and 4.57% on internal and external test sets, respectively. CONCLUSIONS: The proposed model offers efficient and accurate hepatic echinococcosis diagnosis, with a lightweight design suitable for both resource-limited and advanced clinical settings."
PubMed,liver_ultrasound_segmentation_dl,Development and validation of a Random Forest prediction model integrating clinical and ultrasound radiomics features for microvascular invasion in hepatocellular carcinoma patients: a retrospective study.,"Makeshati, Aman; Du, Yuying; Xiaerfuhazi, Halida; Yang, Xiaoping",2026,Translational cancer research,10.3348/kjr.2025.0800,https://pubmed.ncbi.nlm.nih.gov/42445379/,"BACKGROUND: Microvascular invasion (MVI) is a pivotal driver of postoperative recurrence in hepatocellular carcinoma (HCC), yet its preoperative prediction remains a significant clinical challenge. Accurate preoperative MVI assessment is crucial for guiding surgical decisions, as patients with MVI-positive HCC may benefit from more aggressive resection margins or adjuvant therapies. Existing prediction models based on computed tomography (CT) or magnetic resonance imaging (MRI) radiomics are limited by high cost, limited availability in resource-constrained settings, radiation exposure (for CT), and contraindications (for MRI). In contrast, ultrasound, as the first-line imaging modality for HCC screening, offers unique advantages including real-time imaging capability, cost-effectiveness, portability, no radiation exposure, and widespread availability. However, predictive models based on ultrasound radiomics for MVI remain scarce. This study aimed to develop and validate a Random Forest model integrating clinical characteristics and ultrasound radiomics features for preoperative prediction of MVI in HCC patients. METHODS: A total of 224 HCC patients who underwent hepatectomy at the First Affiliated Hospital of Xinjiang Medical University between January 2023 and June 2025 were retrospectively enrolled. Patients were randomly split into training (n=157) and test (n=67) cohorts at a 7:3 ratio. MVI was diagnosed according to the Liver Cancer Pathology Group of China (LCPGC) consensus criteria. After standardizing ultrasound image preprocessing and tumor segmentation, 1,046 radiomic features were extracted. Following feature reduction via 10-fold cross-validated Least Absolute Shrinkage and Selection Operator (LASSO) regression, three machine learning models [Random Forest, backpropagation neural network (BPNN), and Nomogram] were developed and compared. RESULTS: The study cohort comprised 224 patients (mean age 57.9±6.2 years; 70.5% male), with MVI confirmed in 74 patients (33.0%). Patients were randomly split into training (n=157, MVI 31.8%) and test (n=67, MVI 35.8%) cohorts at a 7:3 ratio. Multivariate analysis identified maximum tumor diameter, alpha-fetoprotein (AFP), and vascular endothelial growth factor (VEGF) as independent clinical predictors of MVI (all P<0.05). LASSO regression selected four robust radiomics features. In the test cohort, the Random Forest model achieved an area under the receiver operating characteristic curve (AUC) of 0.908, with sensitivity of 79.2%, specificity of 81.4%, and accuracy of 80.6%, significantly outperforming both the BPNN model (AUC =0.675) and Nomogram model (AUC =0.755). Decision curve analysis confirmed the higher clinical utility of the Random Forest model. CONCLUSIONS: The Random Forest model integrating clinical characteristics and ultrasound radiomics features demonstrated favorable predictive performance for the preoperative assessment of MVI in HCC patients. However, given the retrospective, single-center design and relatively small sample size, these findings should be interpreted with caution. This model holds potential as a cost-effective, noninvasive tool to support individualized surgical planning. Further external validation in multi-center cohorts is warranted before clinical implementation."
PubMed,liver_ultrasound_segmentation_dl,From promise to practice: a scoping review of AI applications in abdominal radiology.,"Fotis, Anastasia; Lalwani, Neeraj; Gupta, Pankaj; Yee, Judy",2026,Abdominal radiology (New York),10.3389/fmed.2023.1305756,https://pubmed.ncbi.nlm.nih.gov/40719923/,"AI is rapidly transforming abdominal radiology. This scoping review mapped current applications across segmentation, detection, classification, prediction, and workflow optimization based on 432 studies published between 2019 and 2024. Most studies focused on CT imaging, with fewer involving MRI, ultrasound, or X-ray. Segmentation models (e.g., U-Net) performed well in liver and pancreatic imaging (Dice coefficient 0.65-0.90). Classification models (e.g., ResNet, DenseNet) were commonly used for diagnostic labeling, with reported sensitivities ranging from 52 to 100% and specificities from 40.7 to 99%. A small number of studies employed true object detection models (e.g., YOLOv3, YOLOv7, Mask R-CNN) capable of spatial lesion localization, marking an emerging trend toward localization-based AI. Predictive models demonstrated AUCs between 0.62 and 0.99 but often lacked interpretability and external validation. Workflow optimization studies reported improved efficiency (e.g., reduced report turnaround and scan repetition), though standardized benchmarks were often missing. Major gaps identified include limited real-world validation, underuse of non-CT modalities, and unclear regulatory pathways. Successful clinical integration will require robust validation, practical implementation, and interdisciplinary collaboration."
PubMed,liver_ultrasound_segmentation_dl,"Incorporating artificial intelligence into imaging for surveillance and diagnosis of liver cancer: Innovations, challenges, and clinical translation.","Ronot, Maxime; Calderaro, Julien",2026,"Hepatology (Baltimore, Md.)",10.1101/2025.07.16.2533164,https://pubmed.ncbi.nlm.nih.gov/41616271/,"Primary liver cancer, mainly HCC and intrahepatic cholangiocarcinoma, remains a leading cause of cancer mortality worldwide. Early detection is crucial for curative treatment, yet current surveillance and diagnostic strategies, primarily ultrasound surveillance and contrast-enhanced CT or MRI, suffer from operator dependence, limited sensitivity, and interpretive variability. Artificial intelligence (AI) offers transformative potential across the liver cancer continuum, from surveillance to diagnosis and pathology. Deep learning-based models have improved ultrasound detection of small liver tumors, enabling automated triage and reducing workload. On CT and MRI, AI systems achieve expert-level performance for lesion detection, segmentation, and characterization, supporting standardized interpretation through frameworks such as liver imaging reporting and data system. In digital pathology, AI algorithms can distinguish between HCC and cholangiocarcinoma, classify dysplastic nodules, and even predict future cancer development from biopsy slides. Recent advances in foundation models and multimodal AI promise to unify radiology, pathology, and molecular data, paving the way for comprehensive, patient-specific disease modeling. However, widespread clinical integration faces major challenges, including data privacy, regulatory approval, cost sustainability, and algorithmic bias. Large, prospective multicenter validation studies are essential to confirm clinical benefit and safety. Ultimately, the careful implementation of trustworthy and explainable AI tools could enable earlier detection, greater diagnostic precision, and more equitable liver cancer care."
PubMed,nnunet_liver_ultrasound,Integrated multi-task learning framework for hepatocellular carcinoma segmentation and histological grading using fused multi-phase MRI.,"You, Zhihui; Wang, Yuanru; Zhou, Shili",2026,Abdominal radiology (New York),10.1088/1361-6560/abf2f8,https://pubmed.ncbi.nlm.nih.gov/41160193/,"OBJECTIVE: This study aims to develop and validate an integrated multi-task framework for hepatocellular carcinoma analysis by combining deep learning-based segmentation with radiomics-based histological grading using fused multi-phase MRI. MATERIALS AND METHODS: In this retrospective study, MRI data from 1673 patients with histopathologically confirmed hepatocellular carcinoma (875 high-grade, 798 low-grade) were analyzed. Arterial-phase and portal-venous-phase T1-weighted images were acquired using a standardized, bolus-tracking protocol to ensure consistent contrast timing. Six segmentation models, Vision Transformer, nnU-Net, U-Net, DeepLabV3+, Swin Transformer, and SegNet, were trained on arterial, portal-venous, and fused (wavelet-based) MRI data. Radiomic features (n = 215) were extracted from segmented tumor volumes and pre-filtered to remove multicollinearity. Feature refinement was performed using Lasso, Recursive Feature Elimination (RFE), and ANOVA. Tumor grade classification was conducted using TabTransformer, TabNet, XGBoost, and CatBoost. Five-fold cross-validation and an independent test set were used for robust evaluation. Standardized preprocessing, including intensity normalization, bias field correction, and inter-phase registration, ensured consistent image quality and analytical reproducibility. RESULTS: The proposed framework achieved high segmentation accuracy with DSC scores above 0.92 across fused MRI images. Classification performance was exceptional, with training accuracy reaching 93.2% and testing accuracy 92.5%, while AUC values exceeded 96% in the fused modality. Comparative analyses revealed that the Transformer-RFE-Fused model outperformed alternative architectures, demonstrating superior generalization and robust feature learning. In addition, SHAP analysis confirmed the high contribution of key radiomic features, and t-SNE visualizations illustrated clear separation between low-grade and high-grade tumors. These results validate the efficacy of our multi-task learning approach in enhancing HCC tumor segmentation and grading. Our evaluation underscores the clinical potential of our integrated framework for accurate, reproducible, and interpretable HCC diagnosis. CONCLUSIONS: Our integrated multi-task learning framework markedly improves HCC tumor segmentation and grading. Transformer-RFE-Fused (Wavelet) MRI offers superior accuracy and robustness, efficiently paving the way for enhanced clinical decision-making."
PubMed,liver_ultrasound_segmentation_dl,M²B-Net: a lightweight multi-scale multi-attention boundary-aware network for liver tumor segmentation from CT images.,"Wang, Fang; Wang, Haoran; Liu, Limin; Peng, Fei",2026,Scientific reports,10.1038/s41598-026-58315-2,https://pubmed.ncbi.nlm.nih.gov/42297893/," Liver tumor segmentation from CT images remains challenging due to large variations in lesion scale, blurred boundaries, low tissue contrast, and the high computational cost of existing deep learning models. This study aims to develop a lightweight yet accurate segmentation network suitable for clinical deployment. We propose a Multi-scale Multi-attention Boundary-aware Network (M²B-Net) based on a U-shaped encoder-decoder architecture, integrating four modules: Multi-Dimensional Spatial-Location Attention (MDSLA) for feature enhancement across encoder scales, Manhattan Self-Attention (MaSA) for global dependency modeling, Multi-Scale Feature Refinement Module (MSFRM) for cross-scale feature alignment, and Boundary-Convolution Attention Module (BCAM) for edge detail enhancement. A weighted composite loss function combining cross-entropy and Dice loss is used. Experiments were conducted on the public LiTS dataset. M²B-Net achieved a Dice coefficient of 0.77 ± 0.13, volumetric overlap error of 0.35 ± 0.15, average symmetric surface distance of 2.99 ± 2.03 mm, and maximum symmetric surface distance of 5.20 ± 3.07 mm. The model contains 21.7 million parameters and 28.5 GFLOPs, with a training time of 4.1 h and testing time of 37 s per case. Ablation and comparative experiments confirmed the contribution of each module and showed superior performance over SegNet, TD-Net, SBC-Net, and RIS-UNet. M²B-Net effectively addresses multi-scale adaptation, weak boundary capture, and global context modeling in liver tumor segmentation while maintaining a lightweight architecture, demonstrating strong potential for rapid and accurate clinical deployment in resource-constrained settings."
PubMed,liver_ultrasound_segmentation_dl,Revolutionizing Liver Imaging: Artificial Intelligence-Driven Advances in Diagnostics and Staging.,"Devkota, Shritik; Bhujade, Harish; Kalra, Naveen",2026,Journal of clinical and experimental hepatology,10.34133/research.1029,https://pubmed.ncbi.nlm.nih.gov/41631125/,"Artificial intelligence (AI) has emerged as a transformative tool in liver imaging, offering enhanced diagnostic accuracy, efficiency, and reproducibility. The integration of machine learning and deep learning algorithms into radiological workflows has shown significant promise across a wide range of liver diseases. Key applications include automated liver segmentation on computed tomography (CT) and magnetic resonance imaging (MRI), enabling accurate liver volumetry and lesion localization. In metabolic dysfunction-associated steatotic liver disease, AI facilitates the detection and quantification of hepatic steatosis using advanced image analysis on ultrasound, CT, and MRI, providing a non-invasive alternative to biopsy. AI algorithms also demonstrate strong performance in detecting, classifying, and characterizing focal liver lesions such as hemangioma, focal nodular hyperplasia, hepatocellular carcinoma (HCC), and metastases, improving lesion conspicuity, standardizing reporting through LI-RADS, and reducing inter-observer variability. Beyond diagnosis, AI is increasingly applied for risk stratification and prognostication in HCC, integrating imaging, clinical, and laboratory data to predict tumor development, aggressiveness, treatment response, and survival outcomes. Despite these advances, the clinical implementation of AI in liver imaging faces notable challenges such as the need for data harmonization across scanners and institutions, rigorous validation in diverse patient populations, regulatory approval, and ethical considerations surrounding patient privacy, algorithmic bias, and transparency. Addressing these limitations through robust research, multi-center studies, and carefully designed clinical integration strategies is essential to safely and effectively harness AI's potential. With continued development and validation, AI has the capacity to enhance diagnostic workflows, enable precision medicine, and ultimately improve patient outcomes in hepatology."
